Song Title,Overall Streams,Daily Streams
Love Sosa,"730,853,534","501,836"
Hate Bein' Sober,"321,360,852","193,844"
I Don't Like,"281,780,684","228,919"
* Nightcrawler (feat. Swae Lee & Chief Keef),"238,849,311","563,013"
I Don't Like (Remix),"213,550,075","132,898"
* Don't Like.1,"212,869,516","149,731"
Faneto,"198,881,243","158,909"
* Bean (Kobe) [feat. Chief Keef],"126,248,132","30,336"
* Mileage (feat. Chief Keef),"57,543,515","32,707"
Save That Shit,"55,476,597","79,462"
* Semi On Em,"49,013,922","21,439"
Uh Uh (feat. Playboi Carti),"47,115,454","27,700"
* All The Parties (feat. Chief Keef),"44,780,003","67,873"
Yes Sir,"34,335,995","31,711"
* Tampa Bay Bustdown,"34,125,469","4,487"
"* Blowin' Minds (Skateboard) (feat. A$AP Rocky, A$AP Nast, A$AP Ant, Chief Keef & Playboi Carti)","33,929,384","5,680"
Laughin' To The Bank,"32,841,359","22,731"
Tony Montana Flow,"31,958,308","34,161"
3Hunna,"30,234,176","12,682"
"* CHOPPA SHOOT THE LOUDEST (with Chief Keef, feat.Trippie Redd)","30,014,685","11,748"
* Shotta Flow 4 (feat. Chief Keef),"28,888,689","16,161"
"* NEW BUGATTI (feat. Ski Mask The Slump God, Chief Keef, DJ Scheme)","28,637,835","5,193"
* Cut the Check (feat. Chief Keef),"28,390,245","6,097"
Hallelujah,"26,850,337","23,721"
Kills,"26,294,485","100,979"
Kobe,"25,025,211","11,702"
Earned It,"23,699,891","12,434"
* Young Man,"22,987,898","1,733"
War,"22,950,804","20,826"
Love No Thotties,"22,281,315","13,217"
Sosa Chamberlain,"21,272,827","5,102"
Bouncin,"20,612,996","4,476"
Superheroes,"19,517,461","3,889"
* Whitney (feat. Chief Keef),"18,747,577",810
Finally Rich,"18,408,131","9,490"
Kay Kay,"16,501,147","7,601"
* Catch Up (feat. Chief Keef),"16,318,609","1,814"
Can You Be My Friend,"15,232,692","2,792"
* TiP TOE 3,"14,773,947","2,878"
Bitch Where,"14,120,309","13,802"
Glory Bridge (feat. A Boogie Wit da Hoodie),"13,966,457","1,768"
* 100's (feat. Chief Keef & A.E.),"13,795,738",664
Say She Luv Me,"13,726,053","22,886"
Winnin,"13,596,056","24,597"
That's It,"13,322,438","4,468"
No Tomorrow,"13,017,603","6,204"
Understand Me,"12,485,650","5,626"
Citgo,"12,434,138","7,064"
Macoroni Time,"12,307,170","7,027"
My Baby,"12,292,587","11,924"
Diamonds,"11,750,564","5,610"
Ballin',"11,706,348","5,684"
Mailbox,"11,680,872","2,761"
Text (feat. C. Mula),"11,161,504","5,649"
* Come Down (feat. Chief Keef & Rae Sremmurd),"10,610,736",682
* MURDAMAN! (feat. Chief Keef),"10,413,286","12,937"
Save Me,"10,355,260","127,153"
I Just Wanna,"10,339,634","1,925"
HARLEY QUINN,"10,180,129","10,448"
* Jetlag (feat. Chief Keef),"9,976,490","2,187"
* Decline,"9,143,465","1,576"
Bang Bang,"8,987,222","5,199"
Hadouken,"8,927,567","8,379"
Everyday,"8,475,106","12,983"
Nobody (feat. Kanye West),"8,273,887","1,606"
Love Sosa,"8,228,396","6,062"
Tuxedo (feat. Tadoe),"7,764,138","3,710"
* I Don't Know You (feat. Chief Keef & Yo Gotti),"7,162,673",319
Colors,"7,156,573","4,170"
I Don't Know Dem,"7,030,722","9,009"
* Say Ya Grace (with Chief Keef & Lil Yachty),"6,978,903","40,358"
* Down For Some Ignorance (Ghetto Lullaby),"6,537,827",771
* OMG (MYRNE Remix),"6,157,915",181
Status,"6,108,094","3,982"
Monster,"6,027,153","7,734"
Spy Kid,"5,965,494","1,155"
Belieber,"5,946,091",838
Blew My High,"5,598,516","10,554"
Ape Shit,"5,535,152","7,098"
See Through,"5,404,383","2,684"
* OMG,"5,282,340",684
Stuntin Like My Mama,"5,233,113","7,797"
* Luigi (feat. Chief Keef),"5,206,649","1,082"
Ten Toes Down,"5,069,644",743
The Talk,"4,830,284","2,288"
* Banger,"4,633,098","1,097"
Got Them Bands,"4,287,466",994
Vet Lungs,"4,275,284",366
Laurel Canyon,"4,197,279",754
* HO FATTO,"4,157,079",800
Keke Palmer,"4,048,162","2,052"
Now It's Over,"3,989,029","1,760"
* Pitbulls,"3,985,570",275
Say I Ain't Pick Yo Weak Ass Up (feat. Ballout),"3,809,681","2,009"
Obama,"3,759,872","1,473"
DIRTY NACHOS,"3,709,792","24,253"
* Drip on My Dresser (with Chief Keef),"3,672,115",753
* Bad For Me,"3,651,189","2,089"
F*ck Rehab,"3,564,605",227
Less Speed,"3,492,629","1,840"
* Free Lighter (feat. Lil Uzi Vert & Chief Keef),"3,471,547",692
* Darker,"3,431,485",701
Part Ways,"3,382,335",428
F What The Opp Said,"3,380,388",746
I Ain't Done Turnin Up,"3,324,855","1,431"
Bad (feat. Tadoe),"3,289,963","3,476"
So Tree,"3,276,222",666
Light Heist,"3,236,265",707
It Ain't My Fault,"3,174,763","5,411"
3hunna (Remix),"3,174,479","3,095"
I Need More,"3,159,663",317
Who Would've Ever Thought,"3,147,162","1,336"
Let Me See (feat. Tadoe),"3,132,275","1,661"
Morgan Tracy,"3,073,490","1,748"
Swag,"3,036,463","1,380"
Gang Gang,"3,022,881",681
In My Mode,"2,958,715",524
* Bands In The Basement,"2,957,161",482
* Dreamy Dragon,"2,898,328",269
Sosa,"2,867,909","3,539"
Rawlings,"2,841,196",563
Baby Whats Wrong With You,"2,825,787","2,488"
Picking Big Sean Up (Bonus Track),"2,815,760","1,306"
Me,"2,815,021","3,076"
* Almighty Gnar,"2,792,095","1,211"
Like It's Yo Job,"2,774,989","1,277"
* Bow Bow Bow (F My Baby Mama) (feat. Chief Keef),"2,765,124","14,335"
Ice Cream Man,"2,674,183","1,050"
Ain't Missing You,"2,638,945",411
Racks Stuffed Inna Couch,"2,612,641","1,913"
Come on Now (feat. Lil Yachty),"2,610,587",537
Rider,"2,609,790","1,408"
Going Home,"2,583,365",759
Yesterday,"2,560,036","1,704"
Call'n,"2,507,358",413
Ain't Gonna Happen,"2,500,264",417
Fast,"2,496,719",488
On Gang,"2,433,583",977
Water Resort,"2,399,575",597
Feds,"2,374,151","1,063"
Negro,"2,332,396",741
In Love With The Gwop,"2,323,210","1,764"
Ticket,"2,246,339","1,001"
Chief So,"2,216,820","1,534"
Pee Pee'd,"2,206,835",752
Stupid,"2,186,662",965
I Don't Like,"2,166,605","2,156"
Jumanji,"2,147,689",385
* HUNT (feat. Chief Keef),"2,134,261","1,040"
Grab a Star,"2,111,341",608
Drank Head,"2,100,822",602
Glo Gang Mafia (feat. Capo),"2,088,084","1,212"
Hurry B4 The Gate Close,"2,076,643","1,191"
Reefah,"2,075,724",359
Black Ops 3,"2,073,941",328
Shooters,"2,072,627",588
True Religion Fein,"2,064,409","3,105"
Chiefin Keef (feat. Tray Savage & Tadoe),"2,054,575",372
Himalayas,"2,017,171",434
You My Number One,"1,999,678",622
"* Gucci Everything (feat. Chief Keef, French Montana, Fabolous, Red Cafe","1,987,941",253
* Top In The Trash,"1,978,945",551
* Constantly,"1,973,753","4,884"
Hardly,"1,967,134",842
All Time,"1,960,576",312
How It Go,"1,954,890",975
Wazzup,"1,944,853",737
My Niggas,"1,935,926","2,058"
Get Your Mind Right,"1,934,505","1,286"
* PB&J (feat. Young Nudy),"1,928,969","1,760"
Be Back,"1,927,875",852
Hunchoz,"1,919,238","1,637"
3rd Person,"1,916,741",399
Zero to 250,"1,913,866","1,069"
Booty Call,"1,905,228",843
Unstoppable,"1,869,213",249
* Hit & Run,"1,859,821","4,057"
* Layaway,"1,858,756",243
So Cal,"1,836,117",835
Cook,"1,821,088",821
Blurry,"1,818,269","1,044"
* Stop-Start,"1,814,470",71
First Day Out,"1,811,807",727
Batman,"1,806,531",366
* Start Pimpin,"1,792,345",596
Nice,"1,773,389","1,067"
Get It,"1,769,846",790
G Unit,"1,750,111",352
Sneeze,"1,715,626",454
* Bust,"1,708,340",209
* They Can't Stand It (feat. Chief Keef),"1,706,246",
Germs,"1,691,684",247
I Don't Think They Love Me,"1,674,032",645
Masturbation,"1,673,435","1,079"
Yes,"1,670,595",224
* BANG BANG (SchweitzerNVRsquaad),"1,659,437",452
You & Me,"1,657,911",502
Pick One,"1,647,876",310
Yet,"1,644,515",157
* GENGAR,"1,631,909",593
Where Ya At?,"1,631,308",217
Told Y'all,"1,621,643",863
Sucka (feat. Cdai),"1,609,573",331
Musty (feat. Ballout & Lil Bibby),"1,574,638",219
Petty,"1,570,235",332
Never Had a Job (feat. Fredo Santana),"1,560,428",352
* Ghetto Princess (feat. Chief Keef),"1,543,550","7,990"
Get Money,"1,541,667",241
Paper,"1,538,269",626
Just What It Be Like,"1,520,296",303
5AM,"1,510,591",527
Woulda Coulda,"1,506,677","1,136"
Self (feat. Tadoe),"1,490,635",
New School,"1,487,844",240
Where's Waldo,"1,485,785",996
F 'em,"1,482,918",225
TV On (Big Boss),"1,462,202",242
Cops,"1,452,400",589
3,"1,447,210",876
We're Everywhere,"1,436,487",138
* Baby Daddy Broke,"1,427,524",623
On What,"1,425,185",557
Law & Order,"1,419,907",427
Young Rambos,"1,417,406",
